id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54165112,Uma Guia de Leitura (Leitura dos livros de Harry Potter),BouncyPoppy,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,01 Mar 2024,"['James Potter/Lily Evans Potter', 'Sirius Black/Remus Lupin']","['Ambar Mcnor', 'Regulus Black', 'James Potter', 'Remus Lupin', 'Sirius Black', 'Lily Evans Potter', 'Narcissa Black Malfoy', 'Severus Snape']",['Leitura dos livros de HP'],"""Nos últimos meses Ambar não tinha feito mais nada além de estudar tudo o que poderia haver sobre Harry Potter e a sua história. Leu sete livros, fez todas as perguntas que achou serem necessárias, reviu vezes e vezes sem conta todo o plano, todos os prós e todos os contras, releu os capítulos que considerou mais importantes e mesmo assim não estava 100% segura de si. A única coisa de que tinha a certeza era de que não queria aquele futuro, não queria ficar sozinha, não queria que tanta gente morresse, que eles morressem. E iria mudar isso, mesmo contra todos os riscos.""",Português europeu,"26,423",6/6,,,,35
53808097,Sorriso,tugarenegade (scifirenegade),['Anders Als Die Andern | Different From the Others (1919)'],General Audiences,Major Character Death,M/M,Complete Work,15 Feb 2024,['Paul Körner/Kurt Sivers'],['Paul Körner'],"['Angst', 'Mentioned Kurt Sivers', 'Smile', 'Falling In Love', 'Implied/Referenced Suicide', 'Microfic', 'Prompt Fill', '3 Sentence Ficathon', 'Cross-posted on Dreamwidth', 'Tradução em Português | Translation in Portuguese', 'Translation']","Quando ele o conheceu, Paul achou o sorriso de Kurt belo.",Português europeu,60,1/1,,,,2
53448889,O Saga: Parte Dois: Livro da Noite,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, Multi",Complete Work,20 Mar 2024,"['Thea/Malum', 'Olafur/Valen', 'Lady Veneno/ Malum', 'Elisapie/ Gaia', 'Malaika/ Ichante', 'Príncipe Hotah/Princesa Gursel']","['Rovan', 'Olafur', 'Valen', 'Malum - Character', 'Thea', 'Capitão Dantes', 'Dagrim Kvore', 'Kittisek Khan', ""Sultão Graeo'gi"", 'Mestres do Oráculo', 'Coven das Sombras', 'Tio Loean', 'Rei Ohdakota', 'Atoc Baal', 'Sequoia - Character', 'Príncipe Hotah', 'Oren', 'Senhora Veneno', 'Flaero', 'Mestre Anoka', 'Capitão Chayton', ""Na'ura"", 'Lotsee', 'Imperata Lakoma', 'Baishan', 'Tribuno Lutiant', 'Tribuna Ayamis', 'Elisapie', 'Gaia', 'Malaika - Character', 'Chaska', 'Rainha Waconi', 'Adama Sardar', 'Altar Noyon Gatmaa', 'Princesa Gursel']","['Fantasy', 'Myth Arc', 'Action/Adventure', 'Magic', 'Dark Magic', 'Swords & Sorcery']","Oren é um filho do destino. As forças das trevas procuram a sua localização, enquanto as forças da luz o protegem. Rovan é um guerreiro que ajudou a derrotar um líder ambicioso; agora, ele deve correr para casa para salvar sua família. Kittisek Khan e o Sultão Graeo'gi procuram suprimir a revolução enquanto se preparam para a guerra. Thea e Flaero tentarão influenciar Malum.",Português europeu,"67,701",28/28,,1,,14
53376667,meu próprio,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,29 Jan 2024,['Mikasa Ackerman/Eren Yeager'],['Eren Yeager'],[],Eren e Mikasa terão um filho,Português europeu,"1,403",1/1,,7,,51
53254723,saudades,lacie (indigolacie),['聖闘士星矢 | Saint Seiya Series'],General Audiences,Major Character Death,M/M,Complete Work,23 Jan 2024,['Libra Dohko/Aries Shion'],"['Libra Dohko', 'Aries Shion', 'Shunrei (Saint Seiya)']","['LIKE ANCIENT', 'but i am being brave so', 'Star-crossed', 'VERY VERY old fic', 'Lovers']","Quando você sente que aquelas estrelas já não brilham no céu, sabe o que aconteceu. E envolto nas lembranças você se esquece do tempo, mergulhado dentro de si mesmo. Doces sonhos perdidos… Restando apenas a areia… Apenas… Saudades… Presente para Sini!",Português europeu,"1,108",1/1,,2,,4
53113918,Contos de Fadas,tugarenegade (scifirenegade),"['Doctor Who (1963)', 'Doctor Who: Virgin New Adventures - Various Authors']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,13 Jan 2024,['Ian Chesterton & John Chesterton & Barbara Wright'],['John Chesterton'],"['Character Study', 'Introspection', 'Headcanon', 'Microfic', 'Prompt Fill', '3 Sentence Ficathon', 'Cross-posted on Dreamwidth', 'Translation', 'Tradução em Português | Translation in Portuguese']","Quando ele era criança, Johnny deleitava-se com as histórias que os pais lhe contavam.",Português europeu,57,1/1,,,,2
53015890,De Feitiçeiros a Heróis,Eva_Silva,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel Movies)', 'Doctor Who']",Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,23 Jan 2024,['Loki (Marvel)/Harry Potter'],"['Steve Rogers', 'Clint Barton', 'Natasha Romanov (Marvel)', 'Thor (Marvel)', 'Loki (Marvel)', 'Harry Potter', 'Tony Stark', 'Bruce Banner', 'Nick Fury']",['BAMF Harry Potter'],"Séculos depois daquele dia fatal da batalha de Hogwarts, Harry Potter se tornou uma lenda, uma história de ninar que os pais contam aos filhos, um nome sussurrado ao redor de fogueiras. Ele vagueia pelo mundo sozinho e imortal, até que um único momento imprudente o envia para uma dimensão paralela de heróis e vilões. Um novo inimigo surge de um antigo poder, e Harry deve assumir a posição de último bruxo a proteger este novo mundo. Se ao menos a SHIELD parasse de tentar localizá-lo... e alguém pudesse explicar o que diabos um 'Vingador' deveria ser. Sinceramente, trouxas...",Português europeu,"80,636",22/22,4,93,11,"1,863"
52957429,Ai se eu te pego | yuta nakamoto,ZelosNation,['NCT (Band)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,11 Jan 2024,"['Nakamoto Yuta/Original Female Character(s)', 'Nakamoto Yuta (NCT127) & Beatriz Wong']","['Nakamoto Yuta', 'Original Female Character(s)']",['YUBIA'],"Yuta Nakamoto e Beatriz Wong eram como cão e gato, apenas se provocavam o tempo todo. O japonês por outro lado estava querendo há muito tempo acabar com esse joguinho sujo para fazer a sino-portuguesa gemer silenciosamente para si enquanto seus amigos jogavam no mesmo cômodo. plot doado por: @__Lanna_ on wattpad",Português europeu,"1,829",1/1,,,,14
52957315,Physical | choi san,ZelosNation,['ATEEZ (Band)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,11 Jan 2024,"['Choi San (ATEEZ)/Original Female Character(s)', 'Choi San (ATEEZ) & Beatriz Wong']",['Choi San (ATEEZ)'],['SANBIA'],"Beatriz Wong dizia aos seus pais que amava estudar física, mal sabiam eles que a física que ela gostava era na verdade o físico de Choi San. plot doado por: @heartzric_ on wattpad",Português europeu,"1,634",1/1,,,,21
52811407,Say my name | park seonghwa,ZelosNation,['ATEEZ (Band)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,04 Jan 2024,"['Park Seonghwa & Original Female Character(s)', 'Park Seonghwa & Beatriz Wong']","['Original Female Character(s)', 'Park Seonghwa']","['ATEEZ - Freeform', 'BIAHWA']","[CONCLUÍDA] Na qual Park Seonghwa queria que ela falasse seu nome de outra maneira, não se importando se era odiado pela família e ainda pelo bairro inteiro da garotinha que ficava às escondidas.",Português europeu,"4,064",1/1,,1,,8
52617058,Multiple | jung wooyoung,ZelosNation,['ATEEZ (Band)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,29 Dec 2023,"['Jung Wooyoung (ATEEZ)/Original Female Character(s)', 'Jung Wooyoung (ATEEZ) & Beatriz Wong']","['Jung Wooyoung (ATEEZ)', 'Original Female Character(s)']","['ATEEZ - Freeform', 'WOOBIA']","[CONCLUÍDA] Não importava se Beatriz Wong já tinha chegado ao orgasmo múltiplas vezes, Jung Wooyoung apenas queria afundar sua boca no clitóris da amada.",Português europeu,608,1/1,,1,,16
52378471,só seu,mimopudi,['Inazuma Eleven GO'],Explicit,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",M/M,Complete Work,19 Dec 2023,['Ibuki Munemasa/Shindou Takuto'],"['Ibuki Munemasa', 'Shindou Takuto']","['Ranmasa mention', 'Kirino appears', 'Alternate Universe - Historical', 'Class Differences', 'Possessive Behavior', 'Possessive Sex']","""Ele quere-o. E Riccardo quere-o a ele. Só ele. Só o seu Riccardo. Só seu."" Ibuki e Shindou encontram-se às escondidas para manter o pouco que ainda é deles.",Português europeu,567,1/1,2,9,1,82
52296001,"Maybe in another life, my love",Mikaellanicolas,['文豪ストレイドッグス | Bungou Stray Dogs'],General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,16 Dec 2023,['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)'],"['Dazai Osamu (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)']","['Dazai Osamu Needs a Hug (Bungou Stray Dogs)', 'Character Death', 'Sad Dazai Osamu (Bungou Stray Dogs)', 'Suffering Dazai Osamu (Bungou Stray Dogs)', 'Dazai-Typical Suicide Mentions (Bungou Stray Dogs)']","Osamu Dazai trabalhava numa cafetaria a beira mar, em um belo dia ele conhece um homem de cabelos ruivos no qual se apaixona, mas infelizmente ele não poderá viver esse recomance, mas talvez em outra vida ele possa (eu realmente não sei fazer resumos, mas spolier: chuuya morre)",Português europeu,914,1/1,4,1,,24
51946054,Turning Page (Versão Portuguesa),Clolfe,"['Shingeki no Kyojin | Attack on Titan', '進撃の巨人 | Shingeki no Kyojin | Attack on Titan (Movies)']",Explicit,Choose Not To Use Archive Warnings,"F/F, M/M",Work in Progress,30 Nov 2023,[],[],"['18+', 'Adult Content', 'aot - Freeform', 'snk', 'Drama & Romance', 'LGBTQ Themes', 'New York City', 'Portuguese']",Eleanor Marlowe vê a sua vida mudar a partir do momento em que começa a trabalhar para a Aegis Publishing,Português europeu,"4,547",4/?,,,,14
51828754,Possessão,vogue91port (vogue91),['Kis-My-Ft2 (Band)'],Explicit,Major Character Death,M/M,Complete Work,25 Nov 2023,['Nikaido Takashi/Senga Kento'],"['Nikaido Takashi', 'Senga Kento']","['Established Relationship', 'Implied/Referenced Cheating', 'Violence', 'Altered Mental States', 'Choking', 'Murder']","Nikaido nunca fora alguém muito paciente nem muito tolerante no geral. Contudo continuava a confiar em si mesmo, a dizer-se que havia coisas pelas quais conhecia o seu limite, pelas quais conseguia ser flexível. Eram as suas fraquezas e sentia-se disposto a esquecer por instinto mais do que por decisão. Senga sempre fora uma fraqueza por ele.",Português europeu,"1,685",1/1,,,,4
51828691,Veneno,vogue91port (vogue91),['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,25 Nov 2023,[],"['Tom Riddle | Voldemort', 'Nagini (Harry Potter)']","['Evil Plans', 'Animals', 'Parselmouths & Parseltongue (Harry Potter)', 'Unhealthy Relationships', 'POV First Person']",Eu não confio em ninguém exceto em mim mesmo. E nela.,Português europeu,"1,455",1/1,,,,13
51828646,Não consigo desistir,vogue91port (vogue91),['Hey! Say! JUMP (Band)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,25 Nov 2023,['Chinen Yuri/Takaki Yuya'],"['Chinen Yuri', 'Takaki Yuya']","['Established Relationship', 'France (Country)', 'Arguing', 'Regret', 'Hurt/Comfort', 'Idiots in Love']","“Não me podes deixar aqui sozinho. Não podes.” “Nenhum mo impede. És tu que não queres vir e tens idade suficiente para tomar conta de ti mesmo. Para além disso, não tenho vontade de te ver durante um tempo.”",Português europeu,"1,698",1/1,,,,5
51828613,Quando amanhã chegar,vogue91port (vogue91),['Prison Break'],Mature,No Archive Warnings Apply,M/M,Complete Work,25 Nov 2023,['Alexander Mahone/Michael Scofield'],"['Alexander Mahone', 'Michael Scofield']","['Season/Series 04', 'Talking', 'Confrontations', 'Despair', 'Sex', 'Hope']","“Agora o quê?” perguntou Alex, mordendo um lábio, as mãos instintivamente ao rosto dele. Michael encolheu os ombros, perdeu o sorriso e tornou-se de repente pensativo. “Agora esperamos, Alex. Fazemos o que temos de fazer pelo Self, tentamos ganhar a liberdade e...” suspirou. “E tentamos sobreviver.”",Português europeu,"1,892",1/1,,2,,52
51828577,Xeque-mate,vogue91port (vogue91),['Prison Break'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,25 Nov 2023,[],"['Theodore ""T-Bag"" Bagwell', 'Michael Scofield', 'Fernando Sucre']","['Season/Series 01', 'Introspection', 'Revenge', 'Arguing']","Desde chegar em Fox River, Scofield tirara demasiadas das coisas que lhe pertenciam. O primeiro que lhe foi arrancado foi May Tag, e embora tivesse jurado que ia pagar por isso, justificava si mesmo pelo de ele continuar com a pele toda apegada ao corpo. Precisava dele, certo? Precisava de Scofield, e quando não for mais assim...",Português europeu,"1,827",1/1,,,,11
51451690,Eles,kicciz,['Politica Portuguesa'],Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/M, M/M",Complete Work,08 Nov 2023,"['António Costa/Marcelo Rebelo de Sousa', 'Estefânia/Patrício']","['António Costa', 'Marcelo Rebelo de Sousa']","['Gay', 'Heterosexuality']",A história da política portuguesa é sempre uma novidade,Português europeu,846,4/4,2,3,,49
51289258,O amor nos tempos de morte,vogue91port (vogue91),['The Tudors (TV)'],Teen And Up Audiences,No Archive Warnings Apply,"F/M, Gen, M/M",Complete Work,01 Nov 2023,"['Eustace Chapuys/Mary I of England', 'Charles Brandon 1st Duke of Suffolk/Henry VIII of England']","['Anne Boleyn Queen of England', 'Mary I of England', 'Charles Brandon 1st Duke of Suffolk', 'Thomas More (1478-1535)', 'Eustace Chapuys', 'Henry VIII of England', 'George Boleyn Viscount Rochford', 'Anna von Kleve | Anne of Cleves Queen of England', 'Thomas Cromwell (c.1485-1540)']","['Drabble Collection', 'Fear of Death', 'Forbidden Love', 'Friendship', 'Character of Faith', 'Regret', 'Age Difference', 'False Accusations', 'Pride']",Playlist challenge,Português europeu,"1,576",1/1,,,,58
51289192,Tranca para sempre este coração cativado para ti,vogue91port (vogue91),['Hey! Say! JUMP (Band)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,01 Nov 2023,[],"['Yaotome Hikaru', 'Takaki Yuya']","['Unrequited Love', 'Secret Relationship', 'Fights', 'Confrontations', 'Emotional Hurt']","Hikaru achava nunca se ter sentido tão nervoso na sua vida. Estava em frente à porta de Yuya, tentando decidir-se a toca a campainha. Porém, parecia não conseguir.",Português europeu,"1,304",1/1,,,,2
51289159,Futari kake no bashou,vogue91port (vogue91),"['Hey! Say! JUMP (Band)', ""Johnny's Entertainment""]",Explicit,No Archive Warnings Apply,M/M,Complete Work,01 Nov 2023,['Arioka Daiki/Yamada Ryosuke'],"['Arioka Daiki', 'Yamada Ryosuke']","['Established Relationship', 'Fluff', 'Snow', 'Sex', 'Love']",A perspetiva duma manhã passada com o seu namorado aquecendo-se na cama era suficiente para declarar aquilo como um ótimo início do dia.,Português europeu,"2,038",1/1,,1,,22
51289108,Este amor,vogue91port (vogue91),['Harry Potter - J. K. Rowling'],Teen And Up Audiences,Major Character Death,"F/M, Gen, M/M",Complete Work,01 Nov 2023,"['Remus Lupin/Nymphadora Tonks', 'Hermione Granger/Ron Weasley', 'Andromeda Black Tonks/Ted Tonks', 'Sirius Black/James Potter', 'Lily Evans Potter/Severus Snape', 'Angelina Johnson/George Weasley']","['Remus Lupin', 'Hermione Granger', 'Andromeda Black Tonks', 'Sirius Black', 'Severus Snape', 'George Weasley']","['Ficlet Collection', 'Canonical Character Death', 'Angst', 'Introspection', 'Unrequited Love', 'Fluff', 'Love']","O amor toma caminhos diferentes, tem formas diferentes em lugares diferentes, mas a natureza dele fica sempre a mesma.",Português europeu,"2,763",1/1,,,,21
51289063,Viva,vogue91port (vogue91),['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,01 Nov 2023,[],"['Bellatrix Black Lestrange', 'Tom Riddle | Voldemort']","['POV First Person', 'POV Alternating', 'Arguing', 'Introspection', 'Emotional Manipulation', 'Master/Servant']","“Eu sei tudo o que há de importante pra saber, ou seja o que Você me diz. Não preciso de saber nada mais, porque não seria relevante pra efeitos da nossa batalha.” respondi pelos dentes, tentando recuperar a dignidade que ele conseguia afastar com tanta confiança.",Português europeu,"3,669",1/1,,,,1
50858092,Razão de ser,seafrills,"['QSMP | Quackity SMP', 'Fuga Impossível (Web Series)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,17 Oct 2023,"['Rafael Lange | Cellbit & Roier', 'Rafael Lange | Cellbit/Roier', 'GuapoDuo - Relationship']","['Rafael Lange | Cellbit', 'Roier (Video Blogging RPF)', 'Tarik Pacanhan | Pactw', 'Mikhael Línnyker | mikethelink', 'Guaxinim (Video Blogging RPF)', 'Felipe Zaghetti | Felps', 'Richarlyson (QSMP)', 'Bobby (QSMP)']","['Angst', 'Romance', 'Canon Alternativo', 'Cell e Cellbit coexistem no mesmo corpo', 'Eu não sei o que estou a fazer', 'Leves menções de gore']","“Raison d’être”: uma expressão francesa que significa razão de ser. Uma expressão comum na filosofia, normalmente é usada para se referir ao propósito e à razão mais importante da existência de um indivíduo. Para ele, essa razão não existia. Continuar a viver só para procurar algo que preenchesse o vazio na sua alma. Foi aí que ele apareceu. Um estranho que mudaria a sua vida para sempre. Alguém que o tiraria do lado negro e sombrio da vida. E tudo começou com um sonho.",Português europeu,"5,354",2/?,,9,1,257
50801497,Tsuyogaru bokutachi ni kizuite yo ima sugu ni dakishimete hoshii,vogue91port (vogue91),"['Hey! Say! JUMP (Band)', ""Johnny's Entertainment""]",General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Oct 2023,['Inoo Kei/Yabu Kota'],"['Yabu Kota', 'Inoo Kei']","['Established Relationship', 'Baking', ""Valentine's Day"", 'Arguing', 'Making Up', 'Idiots in Love']","“É o raio de dia dos Namorados, Kota.” explicou Kei, virando-se para ele, e parecia ainda mais zangado de esta perspetiva. “Então acho que acordaste, viste que estava a cozinhar e pensaste que finalmente me tivesse rendido ao meu papel de rapariga e estivesse a preparar alguma coisa com um monte de chocolate pelo meu homem?”",Português europeu,"1,827",1/1,,,,2
50801458,Onde me queres,vogue91port (vogue91),"['Hey! Say! JUMP (Band)', ""Johnny's Entertainment""]",Explicit,No Archive Warnings Apply,M/M,Complete Work,13 Oct 2023,['Arioka Daiki/Yamada Ryosuke'],"['Arioka Daiki', 'Yamada Ryosuke']","['Established Relationship', 'Vacation', 'Beaches', 'Fluff', 'Sex', 'Idiots in Love', 'Love']","Entendia o entusiasmo de Ryosuke, então, porque também estava excitado por aquela fuga, embora breve. Suspirou, endireitou o assento e tentou ser discreto enquanto deixava deslizar a mão de lado, atingindo a do seu namorado e entrelaçando os dedos com os deles. Por mais do que uma razão, mal podia esperar para chegar.",Português europeu,"4,828",1/1,,,,6
