id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55102990,Superpowerverse:Tale of Silver Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Silver Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.1960-1980,ไทย,60,1/1,,,,1
55102975,Superpowerverse:Tale of Golden Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Golden Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.1930-1960,ไทย,60,1/1,,,,2
55102930,Superpowerverse:Tale of Proto Superhero Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Proto Superhero ตั้งแต่ปีค.ศ.1900-1930,ไทย,50,1/1,,,,6
55102897,Superpowerverse:Who's Who in Multiverse,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],"คลังข้อมูลตัวละครในพหุจักรวาลของ Superpowerverse ไม่ว่าจะเป็น Alternate Universe,Alternate Future,Alternate Dimension,Alternate Timeline",ไทย,53,1/1,,,,2
55102666,Superpowerverse:Who's Who in Prime Universe,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],คลังข้อมูลตัวละครในจักรวาล Prime Universe ของ Superpowerverse,ไทย,32,1/1,,,,2
55102576,Superpowerverse:The Almanac,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],สารานุกรมของจักรวาล Superpowerverse,ไทย,"1,579",2/2,,,,5
55086331,Cat's Eye Gem from the corpse of a millionaire,Gentiana_scabra,"['ฉันนี่แหละท่านขุนที่สวยที่สุดในสยาม', 'I’m the most beautiful khun in siam', 'i’m the most beautiful khun khun in saim']",Teen And Up Audiences,Graphic Depictions Of Violence,M/M,Work in Progress,09 Apr 2024,['ched/chaiyached'],['chaiyached'],[],ดวงตาของเขาเป็นสีเดียวกับพลอยตาแมวสีนำ้เงินที่เคยชิงได้จากศพของเศรษฐี พลอยตาแมวที่เชดแอบยักยอกมาจากพวกพ้องเพราะหลงไหลในความงามของมัน เชดอยากจะครอบครองสิ่งนั้นไม่ว่าจะต้องแลกด้วยชีวิตของใคร เชดก็ยินดีจะแลก,ไทย,"30,381",2/?,3,1,1,6
55081684,NOT A BAT?,LUCINE_LUCIANA,"['One Piece (Anime & Manga)', 'Pocket Monsters | Pokemon (Anime)']",General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Other,Work in Progress,09 Apr 2024,"['Fushichou Marco | Phoenix Marco & Portgas D. Ace & Thatch', 'Fushichou Marco | Phoenix Marco & Portgas D. Ace', 'Portgas D. Ace & Shirohige | Whitebeard | Edward Newgate', 'Portgas D. Ace & Thatch', 'Portgas D. Ace & Whitebeard Pirates']","['Portgas D. Ace', 'Shirohige | Whitebeard | Edward Newgate', 'Fushichou Marco | Phoenix Marco', 'Whitebeard Pirates', 'Whitey Bay', 'Thatch (One Piece)', 'Izou (One Piece)']","['Cute Portgas D. Ace', 'Portgas D. Ace Needs a Hug', 'Protective Portgas D. Ace', 'Portgas D. Ace is not a human', 'Portgas D. Ace is pokemon', 'Pokemon']",กลุ่มโจรสลัดหนวดขาวเข้าเทียบท่ายังเกาะแห่งหนึ่ง ก่อนจะพบว่ามันเป็นเกาะที่เต็มไปด้วยสัตว์ประหลาดที่เขาไม่เคยพบเห็นมันที่ไหนว่าก่อนในโลกแกรนด์ไลน์ และเมื่อพวกเขาเคลื่อนเรือออกห่างพวกเขาก็พบว่าพวกเขาได้นำใครสักคนออกเดินทางไปด้วย หรือ กลุ่มโจรสลัดหนวดขาวได้ลูกเรือคนใหม่ที่ไม่ใช่มนุษย์,ไทย,"18,153",1/?,1,4,1,56
55079626,Killer,2818bibichan,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],Explicit,Graphic Depictions Of Violence,M/M,Work in Progress,09 Apr 2024,['Dabi | Todoroki Touya/Takami Keigo | Hawks'],"['Dabi | Todoroki Touya', 'Takami Keigo | Hawks']","['Medical Student Todoroki Touya', 'Killer Takami Keigo | Hawks', 'Character Death', 'Murder', 'Blood and Violence', 'Intimidation', 'Dabi | Todoroki Touya is Not a Villain']",“เลือกเอา ระหว่างเก็บเรื่องนี้ไว้เป็นความลับ แล้วฉันจะปล่อยนายไป...” ฮอว์กส์เว้นช่วง “หรือจะร้องตะโกนให้คนช่วย แต่แลกกับถูกฉันควักดวงตาสวย ๆ นี่ออกไปนะ”,ไทย,"12,548",1/?,1,4,1,33
55079245,Desire,2818bibichan,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,09 Apr 2024,['Dabi | Todoroki Touya/Takami Keigo | Hawks'],"['Dabi | Todoroki Touya', 'Takami Keigo | Hawks']","['Bottom Dabi | Todoroki Touya', 'Top Takami Keigo | Hawks', 'Smut', 'Foot Fetish', 'Creampie', 'Light Dom/sub', 'Light Bondage', 'Unsafe Sex', 'Plot What Plot/Porn Without Plot']",ดาบิย้ำเตือนกับตัวเองอยู่เสมอว่าเขาเชื่อใจฮอว์กส์ไม่ได้ ไม่ว่าจะกับเรื่องไหน ทั้งเรื่องงานที่ตีสองหน้าอย่างแนบเนียนในฐานะสปาย หรือจะเป็นตอนนี้ที่เขาถูกอุ้มขึ้นเพื่อจะพาไปล้างตัวตามคำกล่าวนั่นก็ตาม,ไทย,"7,601",1/1,3,5,,70
55078327,Superpowerverse:Tale of Multiverse,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,09 Apr 2024,[],[],"['Anthology', 'Alternate Universe - Superheroes/Superpowers', 'Multiverse', 'Alternate History']","เรื่องราวเสริมของ Superpowerverse เกี่ยวกับพหุจักรวาลของ Superpowerverse นับตั้งแต่ยุคสำริดของซุปเปอร์ฺฮีโร่ที่กลายเป็นจุดเริ่มต้นของเหตุการณ์ Crisis ต่างๆจนกระทั่งยุคสนธยาของซุปเปอร์ฮีโร่ เหตุการณ์ไครซิสก็กลายเป็นแค่ประวัติศาสตร์เท่านั้นเพราะการสำรวจพหุจักรวาลกลายเป็นเรื่องธรรมดาเหมือนการท่องเที่ยวเท่านั้นและเราจะพาไปสำรวจจักรวาลต่างๆต่างๆทั้งจักรวาลคู่ขนาน(Alternate Universe),ไทม์ไลน์คู่ขนาน(Alternate Timeline) และอนาคตคู่ขนาน(Alternate Future) ของจักรวาลนี้",ไทย,369,1/1,,,,3
55063918,Superpowerverse:Tale of Prime Universe,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],"['Alternate Universe - Superheroes/Superpowers', 'Proto-Superhero(Comics)', 'Golden Age (Comics)', 'Silver Age(Comics)', 'Bronze Age(Comics)', 'Dark Age(Comics)', 'Modern Age(Comics)', 'Anthology', 'Twilight Age(Comics)', 'Alternate History']","รวมเรื่องสั้นของจักรวาล Superpowerverse ที่เล่าตั้งแต่ปีค.ศ.1900 ยุคโปรโตซุปเปอร์ฮีโร่,ปีค.ศ.1930 ยุคทองของซุปเปอร์ฮีโร่,ปีค.ศ.1960 ยุคเงินของซุปเปอร์ฮีโร่,ปีค.ศ.1980 ยุคสำริดของซุปเปอร์ฮีโร่,ปีค.ศ.1990 ยุคมืดของซุปเปอร์ฮีโร่,ปีค.ศ.2000 ยุคโมเดิร์นของซุปเปอร์ฮีโร่และปีค.ศ.2100 เป็นต้นไป ยุคโนนพาวเวิร์ดหรือยุคสนธยาของซุปเปอร์ฮีโร่",ไทย,267,1/1,,,,5
55063771,Superpowerverse:Unordinary Life of Lisa Luten,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],"['Gender or Sex Swap', 'Transformation', 'Slice of Life', 'Alternate Universe - Superheroes/Superpowers', '2020s', 'Adventure', 'Proto-Superhero(Comics)', 'Silver Age(Comics)', 'Golden Age(Comics)', 'Dark Age(Comics)', 'Bronze Age(Comics)', 'Modern Age(Comics)', 'Twilight Age(Comics)', 'Alternate History']","ในโลกที่มนุษย์(สิ่งมีชีวิตที่มีสติปัญญา),พืช,เชื้อรา,จุลชีพ,ไวรัส,สิ่งไม่มีชีวิตต่างก็มีพลังวิเศษที่เริ่มยาวตั้งแต่ปีค.ศ.1900-1930 ยุคของโปรโตซุปเปอร์ฮีโร่,ค.ศ.1930-1960 ยุคทองของซุปเปอร์ฮีโร่,ค.ศ.1960-1980 ยุคเงินของซุปเปอร์ฮีโร่,ค.ศ.1980-1990 ยุคสำริดของซุปเปอร์ฮีโร่,ค.ศ.1990-2100 ยุคโมเดิร์นของซุปเปอร์ฮีโร่และค.ศ.2100 เป็นต้นไปอย่างยุคแห่งโนนพาวเวิร์ดหรือยุคสนธยาของซุปเปอร์ฮีโร่,ยุคที่พลังวิเศษของซุปเปอร์บีอิ้งทั้งหลายกลับมาสู่ความเสถียรและปกติอีกครั้งเหมือนช่วงยุคโปรโตซุปเปอร์ฮีโร่อีกครั้งหลังจากพลังวิเศษนั้นทวีคูณความรุนแรงมากขึ้นหลังจากยุคทองของซุปเปอร์ฮีโร่จนถึงยุคโมเดิร์นของซุปเปอร์ฮีโร่แต่กระนั้นซุปเปอร์ฮีโร่กับซุปเปอร์วายร้ายรวมถึงฮีโร่โทคุซัสซึหรือสาวน้อยเวทมนตร์มันตกยุคไปแล้วและถูกมองเป็นศาลเตี้ยหรืออาชญากรธรรมดาเท่านั้น เพราะโลกนี้โฟกัสที่ชีวิตแสนธรรมดาที่ไม่ธรรมดาของลิซ่า ลูเทนและเพื่อนๆของเขาในโลกแห่งพลังวิเศษ",ไทย,974,1/1,,,,7
55059976,Yuunaverse:Transformation Lab Creation,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],"['Transformation', 'Gender or Sex Swap', 'Bodyswap']",คลังรวมข้อมูลเกี่ยวกับไอเท็มแปลงร่างใน Yuuna's Transformation Lab ที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse,ไทย,71,1/1,,,,6
55059934,Yuunaverse:Transformation Lab Capture,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],"['Transformation', 'Gender or Sex Swap', 'Bodyswap']",คลังรวมข้อมูลเกี่ยวกับสิ่งเชิงแปลงร่างใน Yuuna's Transformation Lab ที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse,ไทย,73,1/1,,,,3
55059889,Yuunaverse:Miscellaneous Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],คลังรวมข้อมูลเบ็ดเตล็ดที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse:Original,ไทย,53,1/1,,,,1
55059814,Yuunaverse:Story Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],"คลังรวมไอเดียนิยาย,สารคดี,เรื่องสั้น,รวมเรื่องสั้นที่อาจจะได้ใช้หรือไม่ได้ใช้ในจักรวาล Yuunaverse:Original",ไทย,85,1/1,,,,0
55059613,Yuunaverse:Lifeform Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],"คลังรวมไอเดียเกี่ยวกับสิ่งมีชีวิตไม่ว่าจะเป็นพืช,สัตว์,มนุษย์,เชื้อรา,จุลชีพ,ไวรัสที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse:Original",ไทย,108,1/1,,,,0
55059586,Yuunaverse:Civilization & Ecosystem Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],คลังรวมไอเดียเกี่ยวกับอารยธรรมและระบบนิเวศน์ที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse:Original,ไทย,75,1/1,,,,0
55059556,"Yuunaverse:Mecha,Vehicle & Weapon Trash Bin",Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],"คลังรวมข้อมูลเกี่ยวกับยานพาหนะ,หุ่นรบและอาวุธที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse:Original",ไทย,75,1/1,,,,2
55059538,Yuunaverse:Artifact Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'No Fandom']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],คลังรวมเกี่ยวกับ Artifact ที่อาจจะได้ใช้หรือไม่ได้ใช่ใน Yuunaverse:Original,ไทย,48,1/1,1,,,3
55059151,Yuunaverse:Character Trash Bin,Yuunaverse Original (ohmmy),"['No Fandom', 'Original Work']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],คลังรวมสารพันตัวละครที่อาจจะได้ใช้หรือไม่ได้ใช้ในจักรวาล Yuunaverse:Original,ไทย,58,1/1,,,,2
55059100,Yuunaverse:AU & Setting Trash Bin,Yuunaverse Original (ohmmy),"['No Fandom', 'Original Work']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],[],[],คลังรวมสารพัน AU และ Setting ที่อาจจะได้ใช้หรือไม่ได้ใช้ในอนาคตในจักรวาล Yuunaverse:Original,ไทย,63,1/1,,,,3
55026334,Worldwarverse:Endsieg 1945,ohmmy,"['Worldwar/Colonization Series - Harry Turtledove', 'Original Work']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,07 Apr 2024,[],[],"['Alternate Universe - Canon Divergence', 'Alternate Universe - 1940s', 'Alternate Universe - World War II', 'Alternate Universe - Alien Invasion', 'Alternate History', 'Alternate Universe - Historical']",ปีค.ศ.1945 สงครามโลกครั้งที่ 2 กำลังจะถึงจุดชี้ชะตาระหว่างฝ่ายสัมพันธมิตรและอักษะแต่กระนั้นเองจักรวรรดิพรีเคอร์เซอร์เมต้าอิมพีเรียมได้ทำการส่งกองยานของพวกเขาไปบุกโจมตีดาวโลกโดยส่งพวกลิซาร์ดแมนอวกาศอย่างเรปทิเลี่ยนหรือที่ชาวโลกจะรู้จักในเวลาต่อมาในชื่อ The Race ศึกชี้ชะตาระหว่างอักษะและสัมพันธมิตรจำเป็นต้องหยุดชั่วคร่าวเพื่อทำการหยุดการรุกรานของเดอะเรซและพรีเคอร์เซอร์,ไทย,353,1/1,,,,3
55026136,"GATEverse:Japan,1946",ohmmy,"['Original Work', 'ゲート 自衛隊彼の地にて斯く戦えり | GATE: Jietai Kanochi nite Kaku Tatakaeri (Anime)', 'ゲート 自衛隊彼の地にて斯く戦えり - 竿尾悟 | Gate: Jietai Kanochi nite Kaku Tatakaeri - Sao Satoru (Manga)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,07 Apr 2024,[],[],"['Alternate Universe - Canon Divergence', 'Alternate Universe - 1940s', 'Aftermath of World War 2', 'Super Sargasso Sea', 'Alternate History']","ปีค.ศ.1946, 1 ปีหลังสงครามโลกครั้งที่ 2 ได้จบลงและญี่ปุ่นเป็นฝ่ายพ่ายแพ้สงครามโลกครั้งที่ 2 ส่งผลให้สหรัฐอเมริกาทำการยึดประเทศญี่ปุ่นและเกาะโอกินาวะไว้แต่กระนั้นประตูมิติปริศนาที่เรียกว่า Gate ได้เปิดขึ้นใจกลางกรุงโตเกียวและได้นำพากลุ่มทหารอเมริกันบางส่วนเข้าไปยัง World Beyond Gate หรืออีกชื่อหนึ่งอย่างทะเลซุปเปอร์ซาร์กัสโซ่(Super Sargasso Sea)",ไทย,296,1/1,,,,9
55026130,Baby by me - Zeus x PerfecT,Sunofthemost,"['League of Legends', 'League of Legends RPF']",Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,07 Apr 2024,"['Choi ""Zeus"" Woo-je/Lee ""PerfecT"" Seung-min']","['Choi ""Zeus"" Woo-je', 'Lee ""PerfecT"" Seung-min']",['T1 2022-2023 Roster (League of Legends RPF)'],Choi Zeus Wooje TOP Lee PerfecT Seungmin BOTTOM,ไทย,"8,200",1/1,,7,,62
55025980,Fateverse:The Red Scare,Yuunaverse Original (ohmmy),"['Original Work', 'Fate/stay night & Related Fandoms']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,07 Apr 2024,[],[],"['Alternate Universe - Real World', '1950s', 'Alternate History']","ในจักรวาล Fateverse,พหุจักรวาลนอกจักรวาล Fate Series เวอร์ชั่นออฟฟิเชี่ยลที่เซ็ตในโลกแห่งความจริงโดยเฉพาะสหรัฐอเมริกาช่วงปีค.ศ.1954 ช่วงเวลาที่เกิดความหวาดกลัวคอมมิวนิสต์และสังคมนิยมทั่วสหรัฐอเมริกาเนื่องจากลัทธิ McCarthyism",ไทย,264,1/1,,,,3
54981829,Eternity Ring Project:Requiem of Time,Yuunaverse Original (ohmmy),"['Original Work', 'Quality Comics', 'Kid Eternity (Comics)', 'Fate/type Redline']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,05 Apr 2024,[],[],"['Gender or Sex Swap', 'Transformation', 'Historical Fantasy', 'Alternate Universe - Fate/ Fusion', 'Science Fiction & Fantasy', 'Alternate Universe - World War II', 'Slice of Life', 'Adventure', 'Alternate History', 'Golden Age (Comics)', 'Golden Age of Comic Books']",ในขณะที่เด็กหนุ่มที่มีนามว่าจิโอริ มิซึกิฮิเมะกำลังปัดกวาดเช็ดถูของสะสมของย่าของเขาเนื่องจากเขารู้ว่าย่าของเขาอย่างคุเรไน มิซึกิฮิเมะเป็นวีฟเวอร์เหมือนกับเขาจนกระทั่งเขาได้แตะและสวมแหวนแหวนแต่งงานของย่าของเขาพร้อมกับที่กำลังเปิดแอปอีเทอร์นิตี้แอปและเขาได้ถูกส่งย้อนเวลากลับไปยังประเทศไทยในช่วงประมาณปีค.ศ.1941-1946 ช่วงกรณีพิพาธอินโดจีนและการรุกรานประเทศไทยของจักรวรรดิญี่ปุ่นและพบว่าเขาได้กลายเป็นร่างก็อปปี้ของคุณย่าของเขาตอนยังสาวและต้องเจอกับย่าของเขาอย่างคุเรไน ที่เพิ่งเป็นวีฟเวอร์ครั้งแรกตอนอายุ 18 ปีและนั่นทำให้หลานและย่าได้เจอกันเป็นครั้งแรกในรอบ 21 ปี,ไทย,891,1/1,,,,4
